Season,Team,Position,Player,Injury Type,Cap Hit,Chip,Games Missed,Games Missed
2017/18,Pittsburgh,D,"Schultz, Justin",Concussion,5.5,402.4390244,6,6
2017/18,Pittsburgh,G,"Murray, Matt",Concussion,3.75,411.5853659,9,9
2017/18,San Jose,F,"Couture, Logan",Concussion,6,292.6829268,4,4
2017/18,St. Louis,F,"Blais, Sammy",Concussion,0.725833,8.851621951,1,1
2017/18,Vancouver,F,"Gagner, Sam",Concussion,3.15,38.41463415,1,1
2017/18,Vegas,G,"Fleury, Marc-Andre",Concussion,5.75,1753.04878,25,25
2017/18,Washington,F,"Connolly, Brett",Concussion,1.5,128.0487805,7,7
2017/18,Winnipeg,D,"Kulikov, Dmitry",Concussion,4.333333,158.5365732,3,3
2017/18,Winnipeg,D,"Trouba, Jacob",Concussion,2.8125,171.4939024,5,5
2017/18,Winnipeg,G,"Hutchinson, Michael",Concussion,1.15,70.12195122,5,5
2017/18,Winnipeg,G,"Hutchinson, Michael",Concussion,1.15,84.14634146,6,6
2017/18,Winnipeg,G,"Mason, Steve",Concussion,4.1,350,7,7
2017/18,Winnipeg,G,"Mason, Steve",Concussion,4.1,1000,20,20
2017/18 (playoffs),Minnesota,D,"Olofsson, Gustav",Concussion,0.725,44.20731707,5,5
2017/18 (playoffs),New Jersey,F,"Johansson, Marcus",Concussion,4.583333,111.7886098,2,2
2018/19,Anaheim,F,"Kase, Ondrej",Concussion,2.6,570.7317073,18,18
2018/19,Boston,F,"DeBrusk, Jake",Concussion,1.288333,141.4024024,9,9
2018/19,Boston,F,"Kuraly, Sean",Concussion,1.275,31.09756098,2,2
2018/19,Boston,D,"Krug, Torey",Concussion,5.25,384.1463415,6,6
2018/19,Boston,D,"McAvoy, Charlie",Concussion,1.258333,306.9104878,20,20
2018/19,Boston,D,"Vaakanainen, Urho",Concussion,1.333333,422.764122,26,26
2018/19,Boston,G,"Rask, Tuukka",Concussion,7,85.36585366,1,1
2018/19,Buffalo,F,"Okposo, Kyle",Concussion,6,292.6829268,4,4
2018/19,Calgary,F,"Backlund, Mikael",Concussion,5.35,260.9756098,4,4
2018/19,Calgary,F,"Dube, Dillon",Concussion,0.910833,44.43087805,4,4
2018/19,Carolina,F,"Ferland, Micheal",Concussion,1.75,85.36585366,4,4
2018/19,Carolina,F,"Staal, Jordan",Concussion,6,365.8536585,5,5
2018/19,Carolina,F,"Staal, Jordan",Concussion,6,1975.609756,27,27
2018/19,Carolina,D,"Fleury, Haydn",Concussion,1.713333,62.68291463,3,3
2018/19,Carolina,D,"Fleury, Haydn",Concussion,1.713333,188.0487439,9,9
2018/19,Chicago,F,"Anisimov, Artem",Concussion,4.55,221.9512195,4,4
2018/19,Chicago,F,"Caggiula, Drake",Concussion,1.5,237.804878,13,13
2018/19,Chicago,F,"Kruger, Marcus",Concussion,2.775,135.3658537,4,4
2018/19,Chicago,F,"Perlini, Brendan",Concussion,1.363333,49.87803659,3,3
2018/19,Chicago,G,"Crawford, Corey",Concussion,6,365.8536585,5,5
2018/19,Chicago,G,"Crawford, Corey",Concussion,6,2048.780488,28,28
2018/19,Colorado,F,"Compher, J.T.",Concussion,1,195.1219512,16,16
2018/19,Colorado,D,"Johnson, Erik",Concussion,6,146.3414634,2,2
2018/19,Columbus,D,"Harrington, Scott",Concussion,0.675,16.46341463,2,2
2018/19,Detroit,F,"Nielsen, Frans",Concussion,5.25,320.1219512,5,5
2018/19,Edmonton,D,"Petrovic, Alex",Concussion,1.95,142.6829268,6,6
2018/19,Florida,D,"Weegar, MacKenzie",Concussion,0.9,43.90243902,4,4
2018/19,New Jersey,D,"Vatanen, Sami",Concussion,4.875,832.3170732,14,14
2018/19,NY Islanders,D,"Boychuk, Johnny",Concussion,6,146.3414634,2,2
2018/19,NY Rangers,F,"Buchnevich, Pavel",Concussion,0.925,11.28048781,1,1
2018/19,NY Rangers,F,"Namestnikov, Vladislav",Concussion,4,146.3414634,3,3
2018/19,Ottawa,F,"Formenton, Alex",Concussion,0.894166,32.71339024,3,3
2018/19,Ottawa,F,"Ryan, Bobby",Concussion,7.25,265.2439024,3,3
2018/19,Ottawa,D,"Falk, Justin",Concussion,0.65,95.12195122,12,12
2018/19,Ottawa,G,"Anderson, Craig",Concussion,4.75,637.195122,11,11
2018/19,Pittsburgh,F,"Hornqvist, Patric",Concussion,5.3,193.902439,3,3
2018/19,Pittsburgh,F,"Hornqvist, Patric",Concussion,5.3,258.5365854,4,4
2018/19,Pittsburgh,D,"Dumoulin, Brian",Concussion,4.1,150,3,3
2018/19,Pittsburgh,D,"Oleksiak, Jamie",Concussion,2.1375,78.20121951,3,3
2018/19,Pittsburgh,G,"Murray, Matt",Concussion,3.75,45.73170732,1,1
2018/19,San Jose,D,"simek, Radim",Concussion,0.675,16.46341463,2,2
2018/19,St. Louis,F,"Bozak, Tyler",Concussion,5,548.7804878,9,9
2018/19,St. Louis,F,"Perron, David",Concussion,4,1170.731707,24,24
2018/19,St. Louis,F,"Sanford, Zach",Concussion,0.925,33.84146342,3,3
2018/19,St. Louis,F,"Soshnikov, Nikita",Concussion,0.8,97.56097561,10,10
2018/19,St. Louis,F,"Steen, Alex",Concussion,5.75,140.2439024,2,2
2018/19,Toronto,F,"Johnsson, Andreas",Concussion,0.7875,9.603658537,1,1
2018/19,Toronto,F,"Kadri, Nazem",Concussion,4.5,439.0243902,8,8
2018/19,Toronto,F,"Kapanen, Kasperi",Concussion,0.863333,42.11380488,4,4
2018/19,Toronto,G,"Sparks, Garret",Concussion,0.675,41.15853659,5,5
2018/19,Vancouver,F,"Bartschi, Sven",Concussion,3.366666,944.3087561,23,23
2018/19,Vancouver,F,"Bartschi, Sven",Concussion,3.366666,1231.707073,30,30
2018/19,Vancouver,F,"Pettersson, Elias",Concussion,3.775,276.2195122,6,6
2018/19,Vancouver,F,"Roussel, Antoine",Concussion,3,146.3414634,4,4
2018/19,Vancouver,D,"Edler, Alexander",Concussion,5,670.7317073,11,11
2018/19,Vancouver,D,"Stecher, Troy",Concussion,2.325,85.06097561,3,3
2018/19,Washington,F,"Oshie, T.J.",Concussion,5.75,771.3414634,11,11
2018/19,Washington,F,"Wilson, Tom",Concussion,5.166666,189.0243659,3,3
2018/19,Winnipeg,F,"Copp, Andrew",Concussion,1,36.58536585,3,3
2018/19,Winnipeg,D,"Byfuglien, Dustin",Concussion,7.6,370.7317073,4,4
2018/19 (playoffs),Boston,D,"Grzelcyk, Matt",Concussion,1.4,68.29268293,4,4
2018/19 (playoffs),Carolina,F,"Svechnikov, Andrei",Concussion,3.575,261.5853659,6,6
2019/20,Boston,G,"Rask, Tuukka",Concussion,7,256.097561,3,3
2019/20,Buffalo,F,"Okposo, Kyle",Concussion,6,731.7073171,10,10
2019/20,Buffalo,D,"Dahlin, Rasmus",Concussion,3.775,368.2926829,8,8
2019/20,Carolina,G,"Mrazek, Petr",Concussion,3.125,228.6585366,6,6
2019/20,Chicago,F,"Caggiula, Drake",Concussion,1.5,493.902439,27,27
2019/20,Chicago,F,"Dach, Kirby",Concussion,3.425,83.53658537,2,2
2019/20,Chicago,F,"Shaw, Andrew",Concussion,3.9,2092.682927,44,44
2019/20,Chicago,F,"Strome, Dylan",Concussion,3.338333,162.8455122,4,4
2019/20,Chicago,D,"Boqvist, Adam",Concussion,1.744167,21.27032927,1,1
2019/20,Chicago,D,"Carlsson, Lucas",Concussion,0.925,22.56097561,2,2
2019/20,Colorado,F,"Bellemare, Pierre-edouard",Concussion,1.8,21.95121951,1,1
2019/20,Colorado,F,"Donskoi, Joonas",Concussion,3.9,237.804878,5,5
2019/20,Colorado,G,"Francouz, Pavel",Concussion,0.95,23.17073171,2,2
2019/20,Columbus,G,"Merzļikins, Elvis",Concussion,0.874125,42.6402439,4,4
2019/20,Dallas,D,"Heiskanen, Miro",Concussion,3.394166,41.39226829,1,1
2019/20,Edmonton,F,"Sheahan, Riley",Concussion,0.9,21.95121951,2,2
2019/20,Edmonton,D,"Benning, Matt",Concussion,1.9,92.68292683,4,4
2019/20,Edmonton,D,"Persson, Joel",Concussion,1,85.36585366,7,7
2019/20,Edmonton,D,"Russell, Kris",Concussion,4,682.9268293,14,14
2019/20,Minnesota,F,"Greenway, Jordan",Concussion,1.225,29.87804878,2,2
