"index","pkey","season","name","team","position","games_played","i_f_goals","i_f_points","i_f_penalityminutes","i_f_hits","i_f_takeaways","i_f_giveaways","onice_corsipercentage","onice_fenwickpercentage","games_missed"
5186,"2017Justin Schultz",2017,"Justin Schultz","PIT","D",63,4,27,14,36,17,27,0.54,0.56,6
5198,"2017Mika Zibanejad",2017,"Mika Zibanejad","NYR","C",72,27,47,14,92,49,63,0.56,0.57,9
5206,"2017Mark Borowiecki",2017,"Mark Borowiecki","OTT","D",52,3,11,64,226,11,17,0.44,0.47,21
5242,"2017Marcus Johansson",2017,"Marcus Johansson","N.J","L",29,5,14,14,8,15,21,0.54,0.54,2
5242,"2017Marcus Johansson",2017,"Marcus Johansson","N.J","L",29,5,14,14,8,15,21,0.54,0.54,35
5242,"2017Marcus Johansson",2017,"Marcus Johansson","N.J","L",29,5,14,14,8,15,21,0.54,0.54,13
5243,"2017Jimmy Vesey",2017,"Jimmy Vesey","NYR","L",79,17,28,10,83,46,46,0.49,0.48,3
5289,"2018Frans Nielsen",2018,"Frans Nielsen","DET","C",72,10,34,14,79,18,35,0.47,0.47,5
5325,"2018Andrei Svechnikov",2018,"Andrei Svechnikov","CAR","R",82,20,37,62,123,34,63,0.6,0.6,6
5362,"2018Brendan Perlini",2018,"Brendan Perlini","CHI","L",68,14,21,28,51,11,14,0.5,0.49,3
5417,"2018Torey Krug",2018,"Torey Krug","BOS","D",64,6,53,23,53,20,52,0.6,0.6,6
5420,"2018Jamie Oleksiak",2018,"Jamie Oleksiak","DAL","D",57,4,12,45,135,10,38,0.49,0.5,3
5431,"2018Matt Grzelcyk",2018,"Matt Grzelcyk","BOS","D",66,3,18,48,46,28,39,0.53,0.53,4
5437,"2018Dillon Dube",2018,"Dillon Dube","CGY","C",25,1,5,4,11,6,6,0.47,0.47,4
5448,"2018Brian Dumoulin",2018,"Brian Dumoulin","PIT","D",76,3,23,20,141,39,51,0.48,0.48,3
5463,"2018Antoine Roussel",2018,"Antoine Roussel","VAN","L",65,9,30,68,87,20,20,0.47,0.49,4
5470,"2018Vladislav Namestnikov",2018,"Vladislav Namestnikov","NYR","C",78,11,31,34,140,32,46,0.47,0.46,3
5471,"2018Erik Johnson",2018,"Erik Johnson","COL","D",80,7,26,28,124,31,41,0.43,0.43,2
5476,"2018Alex Formenton",2018,"Alex Formenton","OTT","L",9,1,1,6,11,4,5,0.37,0.38,3
5515,"2018Justin Falk",2018,"Justin Falk","OTT","D",10,0,0,11,36,1,5,0.36,0.34,12
5524,"2018Mikael Backlund",2018,"Mikael Backlund","CGY","C",77,21,47,52,52,78,55,0.55,0.54,4
5539,"2018Nazem Kadri",2018,"Nazem Kadri","TOR","C",73,16,43,33,85,42,47,0.6,0.58,8
5556,"2018Urho Vaakanainen",2018,"Urho Vaakanainen","BOS","D",2,0,0,0,0,0,1,0.59,0.55,26
5562,"2018Zach Sanford",2018,"Zach Sanford","STL","L",60,8,20,21,48,31,14,0.5,0.51,3
5580,"2018Troy Stecher",2018,"Troy Stecher","VAN","D",78,2,23,32,91,42,32,0.49,0.48,3
5585,"2018T.J. Oshie",2018,"T.J. Oshie","WSH","R",69,25,54,36,133,46,38,0.57,0.57,11
5617,"2018Haydn Fleury",2018,"Haydn Fleury","CAR","D",20,0,1,2,25,3,6,0.51,0.52,9
5617,"2018Haydn Fleury",2018,"Haydn Fleury","CAR","D",20,0,1,2,25,3,6,0.51,0.52,3
5619,"2018J.T. Compher",2018,"J.T. Compher","COL","L",66,16,33,31,33,23,23,0.5,0.5,16
5632,"2018Andrew Copp",2018,"Andrew Copp","WPG","C",69,11,25,6,71,22,27,0.47,0.46,3
5634,"2018Sami Vatanen",2018,"Sami Vatanen","N.J","D",50,4,17,22,68,16,36,0.49,0.49,14
5662,"2018Bobby Ryan",2018,"Bobby Ryan","OTT","R",78,15,42,35,77,50,48,0.5,0.51,3
5682,"2018David Perron",2018,"David Perron","STL","L",57,23,46,46,52,41,17,0.56,0.56,24
5713,"2018Micheal Ferland",2018,"Micheal Ferland","CAR","L",71,17,40,58,182,36,48,0.59,0.59,4
5769,"2018Johnny Boychuk",2018,"Johnny Boychuk","NYI","D",74,3,20,25,144,10,56,0.44,0.44,2
5799,"2018Marcus Kruger",2018,"Marcus Kruger","CHI","C",74,3,11,30,51,17,11,0.4,0.41,4
5801,"2018Patric Hornqvist",2018,"Patric Hornqvist","PIT","R",69,17,36,16,150,25,18,0.57,0.57,4
5801,"2018Patric Hornqvist",2018,"Patric Hornqvist","PIT","R",69,17,36,16,150,25,18,0.57,0.57,3
5852,"2018Kasperi Kapanen",2018,"Kasperi Kapanen","TOR","R",78,20,44,27,92,44,38,0.51,0.5,4
5855,"2018Alexander Edler",2018,"Alexander Edler","VAN","D",56,10,31,54,127,13,38,0.49,0.51,11
5856,"2018Nikita Soshnikov",2018,"Nikita Soshnikov","STL","R",5,0,0,0,5,0,1,0.39,0.38,10
5868,"2018Kyle Okposo",2018,"Kyle Okposo","BUF","R",78,14,29,41,87,17,27,0.54,0.53,4
